Song,Artist
Like That,"Future, Metro Boomin & Kendrick Lamar"
Beautiful Things,Benson Boone
Lose Control,Teddy Swims
Too Sweet,Hozier
Cinderella,"Future, Metro Boomin & Travis Scott"
Lovin On Me,Jack Harlow
We Don't Trust You,Future & Metro Boomin
Young Metro,"Future, Metro Boomin & The Weeknd"
We Can't Be Friends (Wait For Your Love),Ariana Grande
Texas Hold 'Em,Beyonce
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
Ice Attack,Future & Metro Boomin
Obsessed,Olivia Rodrigo
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Cruel Summer,Taylor Swift
Greedy,Tate McRae
Stick Season,Noah Kahan
Water,Tyla
Slimed In,Future & Metro Boomin
End Of Beginning,Djo
Agora Hills,Doja Cat
Snooze,SZA
Claustrophobic,Future & Metro Boomin
Fast Car,Luke Combs
Saturn,SZA
Magic Don Juan (Princess Diana),Future & Metro Boomin
Get It Sexyy,Sexyy Red
Never Lose Me,Flo Milli
Redrum,21 Savage
Act II: Date @ 8,4Batz Featuring Drake
Whatever She Wants,Bryson Tiller
Fried (She A Vibe),Future & Metro Boomin
Made For Me,Muni Long
Feather,Sabrina Carpenter
Runnin Outta Time,Future & Metro Boomin
Man Made A Bar,Morgan Wallen Featuring Eric Church
Everyday Hustle,"Future, Metro Boomin & Rick Ross"
Truck Bed,HARDY
GTA,Future & Metro Boomin
Ain't No Love,Future & Metro Boomin
Houdini,Dua Lipa
Paint The Town Red,Doja Cat
Enough (Miami),Cardi B
Slow It Down,Benson Boone
Selfish,Justin Timberlake
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
23,Chayce Beckham
Yeah Glo!,GloRilla
Where The Wild Things Are,Luke Combs
Burn It Down,Parker McCollum
WTFYM,Future & Metro Boomin
Austin,Dasha
Seen It All,Future & Metro Boomin
Wild Ones,Jessie Murph & Jelly Roll
La Diabla,Xavi
Exes,Tate McRae
So American,Olivia Rodrigo
Wildflowers And Wild Horses,Lainey Wilson
The Boy Is Mine,Ariana Grande
"Yes, And?",Ariana Grande
Where My Twin @,Future & Metro Boomin
Get In With Me,BossMan Dlow
Soak City,310babii
Scared To Start,Michael Marcagi
Everybody,Nicki Minaj Featuring Lil Uzi Vert
Praise Jah In The Moonlight,YG Marley
Mamaw's House,Thomas Rhett Featuring Morgan Wallen
La People II,"Peso Pluma, Tito Double P & Joel de La P"
I Like The Way You Kiss Me,Artemas
Training Season,Dua Lipa
Punteria,Shakira & Cardi B
Corazon de Piedra,Xavi
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
Stranger,Olivia Rodrigo
Mmhmm,BigXthaPlug
Bandit,Don Toliver
Surround Sound,JID Featuring 21 Savage & Baby Tate
Where It Ends,Bailey Zimmerman
Supernatural,Ariana Grande
Tu Name,Fuerza Regida
FTCU,Nicki Minaj
Gata Only,FloyyMenor X Cris Mj
I Can Feel It,Kane Brown
Breathe,Yeat
Bye,Ariana Grande
Eternal Sunshine,Ariana Grande
Wildflower And Barley,Hozier & Allison Russell
Sensational,Chris Brown Featuring Davido & Lojay
Scared Of My Guitar,Olivia Rodrigo
Spin You Around (1/24),Morgan Wallen
One Call,Rich Amiri
Best For Me,Joyner Lucas & Jelly Roll
You Broke My Heart,Drake
Home,Good Neighbours
La Victima,Xavi
Tucson Too Late,Jordan Davis
Empire Now,Hozier
Girl I've Always Been,Olivia Rodrigo
Outskirts,Sam Hunt
